scientific_name,common_name
Abies concolor,White fir
Abies lasiocarpa,Subalpine fir
Acer glabrum,Rocky Mountain maple
Acer grandidentatum,Bigtooth maple
Acer negundo,Boxelder
Alnus incana,Thinleaf alder
Amelanchier alnifolia,Saskatoon serviceberry
Amelanchier utahensis,Utah serviceberry
Betula occidentalis,Water birch
Celtis occidentalis,Common hackberry
Celtis reticulata,Netleaf hackberry
Chilopsis linearis,Desert willow
Crataegus chrysocarpa,Fireberry hawthorn
Crataegus douglasii,Black hawthorn
Crataegus erythropoda,Cerro hawthorn
Crataegus macracantha,Large-thorn hawthorn
Forestiera pubescens,New Mexico privet
Fraxinus anomala,Singleleaf ash
Fraxinus pennsylvanica,Green ash
Gleditsia triacanthos,Honeylocust
Juglans major,Arizona walnut
Juniperus communis,Common juniper
Juniperus monosperma,One-seed juniper
Juniperus osteosperma,Utah juniper
Juniperus scopulorum,Rocky Mountain juniper
Picea engelmannii,Engelmann spruce
Picea pungens,Colorado blue spruce
Pinus aristata,Bristlecone pine
Pinus contorta,Lodgepole pine
Pinus edulis,Pinyon pine
Pinus flexilis,Limber pine
Pinus ponderosa,Ponderosa pine
Populus angustifolia,Narrowleaf cottonwood
Populus balsamifera,Balsam poplar
Populus deltoides,Eastern cottonwood
Populus tremuloides,Quaking aspen
Prunus americana,American plum
Prunus pensylvanica,Pin cherry
Prunus virginiana,Chokecherry
Pseudotsuga menziesii,Douglas-fir
Quercus gambelii,Gambel oak
Robinia neomexicana,New Mexico locust
Salix amygdaloides,Peachleaf willow
Salix bebbiana,Bebb willow
Salix drummondiana,Drummond willow
Salix exigua,Coyote willow
Salix geyeriana,Geyer willow
Salix gooddingii,Goodding willow
Salix lucida,Shining willow
Salix monticola,Mountain willow
Salix scouleriana,Scouler willow
